date,county,state,fips,cases,deaths
2020-04-03,Abbeville,South Carolina,45001,6,0
2020-04-06,Acadia,Louisiana,22001,79,2
2020-04-04,Accomack,Virginia,51001,8,0
2020-03-28,Ada,Idaho,16001,88,1
2020-04-01,Adair,Iowa,19001,1,0
2020-04-20,Adair,Kentucky,21001,54,4
2020-04-07,Adair,Missouri,29001,11,0
2020-04-09,Adair,Oklahoma,40001,25,2
2020-03-27,Adams,Colorado,8001,71,0
2020-04-15,Adams,Idaho,16003,1,0
2020-04-04,Adams,Illinois,17001,3,0
2020-03-25,Adams,Indiana,18001,1,0
2020-04-04,Adams,Mississippi,28001,16,0
2020-04-02,Adams,Nebraska,31001,6,0
2020-04-19,Adams,Ohio,39001,3,0
2020-04-02,Adams,Pennsylvania,42001,18,0
2020-04-07,Adams,Washington,53001,29,0
2020-04-17,Adams,Wisconsin,55001,4,1
2020-04-04,Addison,Vermont,50001,34,0
2020-04-04,Aiken,South Carolina,45003,24,1
2020-03-25,Alachua,Florida,12001,46,0
2020-04-07,Alamance,North Carolina,37001,24,0
2020-03-16,Alameda,California,6001,40,0
2020-04-11,Alamosa,Colorado,8003,7,2
2020-03-27,Albany,New York,36001,187,0
2020-04-09,Albany,Wyoming,56001,4,0
2020-04-05,Albemarle,Virginia,51003,32,0
2020-04-14,Alcorn,Mississippi,28003,7,0
2020-04-14,Alexander,North Carolina,37003,3,0
2020-03-27,Alexandria,Virginia,51510,18,0
2020-03-30,Allamakee,Iowa,19005,7,1
2020-04-05,Allegan,Michigan,26005,14,0
2020-04-17,Allegany,Maryland,24001,26,1
2020-03-31,Allegany,New York,36003,7,0
2020-04-13,Alleghany,North Carolina,37005,2,0
2020-04-13,Alleghany,Virginia,51005,4,0
2020-03-29,Allegheny,Pennsylvania,42003,265,2
2020-04-04,Allen,Indiana,18003,59,2
2020-04-06,Allen,Kentucky,21003,3,0
2020-04-07,Allen,Louisiana,22003,58,5
2020-04-12,Allen,Ohio,39003,33,2
2020-04-16,Allendale,South Carolina,45005,5,0
2020-04-26,Alpena,Michigan,26007,60,2
2020-04-14,Alpine,California,6003,2,0
2020-04-04,Amador,California,6005,2,0
2020-04-10,Amelia,Virginia,51007,9,0
2020-04-06,Amherst,Virginia,51009,6,0
2020-04-10,Amite,Mississippi,28005,10,1
2020-03-27,Anchorage,Alaska,2020,43,1
2020-04-26,Anderson,Kansas,20003,1,0
2020-04-05,Anderson,Kentucky,21005,3,1
2020-03-30,Anderson,South Carolina,45007,31,1
2020-04-04,Anderson,Tennessee,47001,10,0
2020-04-16,Anderson,Texas,48001,6,0
2020-04-26,Andrew,Missouri,29003,1,0
2020-04-14,Andrews,Texas,48003,13,0
2020-03-27,Androscoggin,Maine,23001,6,0
2020-04-10,Angelina,Texas,48005,16,0
2020-03-28,Anne Arundel,Maryland,24003,88,1
2020-03-25,Anoka,Minnesota,27003,7,0
2020-04-15,Anson,North Carolina,37007,12,0
2020-04-14,Antelope,Nebraska,31003,1,0
2020-04-14,Antrim,Michigan,26009,8,0
2020-04-05,Apache,Arizona,4001,23,0
2020-04-10,Appanoose,Iowa,19007,1,1
2020-04-14,Appling,Georgia,13001,13,0
2020-04-21,Appomattox,Virginia,51011,7,0
2020-04-17,Aransas,Texas,48007,2,0
2020-03-24,Arapahoe,Colorado,8005,69,0
2020-04-14,Archuleta,Colorado,8007,6,0
2020-04-15,Arenac,Michigan,26011,7,0
2020-04-13,Arkansas,Arkansas,5001,2,0
2020-03-26,Arlington,Virginia,51013,63,0
2020-04-08,Armstrong,Pennsylvania,42005,19,0
2020-04-18,Aroostook,Maine,23003,2,0
2020-03-31,Ascension,Louisiana,22005,161,6
2020-04-19,Ashe,North Carolina,37009,4,0
2020-04-02,Ashland,Ohio,39005,3,0
2020-04-15,Ashland,Wisconsin,55003,2,0
2020-04-13,Ashley,Arkansas,5003,11,0
2020-04-04,Ashtabula,Ohio,39007,11,0
2020-04-18,Asotin,Washington,53003,12,0
2020-04-03,Assumption,Louisiana,22007,33,0
2020-04-09,Atascosa,Texas,48013,5,0
2020-04-14,Atchison,Kansas,20005,3,0
2020-04-11,Atchison,Missouri,29005,1,0
2020-04-10,Athens,Ohio,39009,3,1
2020-04-21,Atkinson,Georgia,13003,5,0
2020-04-02,Atlantic,New Jersey,34001,50,1
2020-04-17,Atoka,Oklahoma,40005,1,0
2020-04-05,Attala,Mississippi,28007,15,0
2020-04-14,Audubon,Iowa,19009,1,0
2020-04-12,Auglaize,Ohio,39011,14,1
2020-04-16,Augusta,Virginia,51015,19,0
2020-04-11,Aurora,South Dakota,46003,1,0
2020-04-09,Austin,Texas,48015,7,0
2020-04-08,Autauga,Alabama,1001,12,1
2020-04-05,Avoyelles,Louisiana,22009,37,1
2020-04-12,Baca,Colorado,8009,10,0
2020-04-13,Bacon,Georgia,13005,14,0
2020-03-30,Baker,Florida,12003,8,0
2020-04-08,Baker,Georgia,13007,9,2
2020-03-29,Baldwin,Alabama,1003,15,0
2020-04-05,Baldwin,Georgia,13009,15,1
2020-04-23,Ballard,Kentucky,21007,4,0
2020-03-30,Baltimore,Maryland,24510,152,2
2020-04-15,Bamberg,South Carolina,45009,7,0
2020-04-24,Bandera,Texas,48019,4,0
2020-04-14,Banks,Georgia,13011,8,0
2020-04-08,Bannock,Idaho,16005,5,0
2020-04-22,Barber,Kansas,20007,1,0
2020-04-18,Barbour,Alabama,1005,18,0
2020-04-16,Barbour,West Virginia,54001,4,0
2020-04-12,Barnes,North Dakota,38003,2,0
2020-03-29,Barnstable,Massachusetts,25001,148,2
2020-04-14,Barnwell,South Carolina,45011,5,0
2020-04-15,Barren,Kentucky,21009,7,0
2020-04-18,Barron,Wisconsin,55005,6,0
2020-04-06,Barrow,Georgia,13013,29,3
2020-04-05,Barry,Michigan,26015,6,0
2020-04-11,Barry,Missouri,29009,2,0
2020-03-31,Bartholomew,Indiana,18005,13,0
2020-04-15,Barton,Kansas,20009,5,0
2020-03-26,Bartow,Georgia,13015,93,1
2020-04-05,Bastrop,Texas,48021,9,0
2020-04-05,Bates,Missouri,29013,3,0
2020-04-17,Bath,Kentucky,21011,3,0
2020-04-11,Baxter,Arkansas,5005,4,0
2020-04-05,Bay,Florida,12005,24,1
2020-03-28,Bay,Michigan,26017,4,0
2020-04-03,Bayfield,Wisconsin,55007,3,0
2020-03-25,Beadle,South Dakota,46005,13,0
2020-04-10,Beaufort,North Carolina,37013,12,0
2020-03-29,Beaufort,South Carolina,45013,50,0
2020-04-05,Beauregard,Louisiana,22011,19,0
2020-04-22,Beaver,Oklahoma,40007,1,0
2020-04-01,Beaver,Pennsylvania,42007,54,2
2020-04-19,Beaverhead,Montana,30001,1,0
2020-04-26,Becker,Minnesota,27005,2,0
2020-04-14,Beckham,Oklahoma,40009,1,0
2020-04-15,Bedford,Pennsylvania,42009,9,1
2020-04-09,Bedford,Tennessee,47003,14,0
2020-04-06,Bedford,Virginia,51019,5,0
2020-04-23,Bee,Texas,48025,6,0
2020-04-02,Belknap,New Hampshire,33001,13,0
2020-03-28,Bell,Texas,48027,28,1
2020-03-29,Belmont,Ohio,39013,8,0
2020-04-11,Beltrami,Minnesota,27007,5,0
2020-04-08,Ben Hill,Georgia,13017,6,0
2020-03-22,Bennington,Vermont,50003,4,0
2020-04-03,Benton,Arkansas,5007,41,0
2020-04-26,Benton,Indiana,18007,6,0
2020-04-09,Benton,Iowa,19011,15,1
