state,county,AQI1
Alabama,Baldwin,40
Alabama,Clay,29
Alabama,Colbert,38
Alabama,DeKalb,39
Alabama,Elmore,41
Alabama,Etowah,43
Alabama,Houston,38
Alabama,Jefferson,51
Alabama,Madison,44
Alabama,Mobile,42
Alabama,Montgomery,51
Alabama,Morgan,41
Alabama,Russell,42
Alabama,Shelby,37
Alabama,Sumter,34
Alabama,Tuscaloosa,35
Alaska,Anchorage,27
Alaska,Bethel,10
Alaska,Denali,38
Alaska,Fairbanks North Star ,39
Alaska,Juneau,25
Alaska,Matanuska-Susitna,18
Arizona,Apache,11
Arizona,Cochise,47
Arizona,Coconino,46
Arizona,Gila,67
Arizona,La Paz,45
Arizona,Maricopa,62
Arizona,Mohave,15
Arizona,Navajo,45
Arizona,Pima,49
Arizona,Pinal,60
Arizona,Santa Cruz,29
Arizona,Yavapai,44
Arizona,Yuma,46
Arkansas,Arkansas,32
Arkansas,Ashley,34
Arkansas,Benton,35
Arkansas,Clark,33
Arkansas,Craighead,30
Arkansas,Crittenden,43
Arkansas,Garland,37
Arkansas,Jackson,35
Arkansas,Newton,37
Arkansas,Polk,40
Arkansas,Pulaski,45
Arkansas,Union,35
Arkansas,Washington,44
California,Alameda,40
California,Amador,36
California,Butte,40
California,Calaveras,37
California,Colusa,34
California,Contra Costa,41
California,Del Norte,29
California,El Dorado,38
California,Fresno,51
California,Glenn,40
California,Humboldt,30
California,Imperial,48
California,Inyo,48
California,Kern,44
California,Kings,49
California,Lake,8
California,Los Angeles,58
California,Madera,29
California,Marin,34
California,Mariposa,46
California,Mendocino,35
California,Merced,30
California,Mono,28
California,Monterey,36
California,Napa,35
California,Nevada,45
California,Orange,44
California,Placer,47
California,Plumas,22
California,Riverside,73
California,Sacramento,40
California,San Benito,38
California,San Bernardino,70
California,San Diego,52
California,San Francisco,36
California,San Joaquin,36
California,San Luis Obispo,44
California,San Mateo,36
California,Santa Barbara,42
California,Santa Clara,41
California,Santa Cruz,35
California,Shasta,43
California,Siskiyou,38
California,Solano,39
California,Sonoma,35
California,Stanislaus,38
California,Sutter,37
California,Tehama,37
California,Trinity,15
California,Tulare,56
California,Tuolumne,39
California,Ventura,45
California,Yolo,40
Colorado,Adams,47
Colorado,Arapahoe,50
Colorado,Archuleta,23
Colorado,Boulder,49
Colorado,Clear Creek,48
Colorado,Delta,39
Colorado,Denver,51
Colorado,Douglas,49
Colorado,El Paso,48
Colorado,Fremont,11
Colorado,Garfield,43
Colorado,Gilpin,50
Colorado,Gunnison,48
Colorado,Jefferson,49
Colorado,La Plata,46
Colorado,Larimer,51
Colorado,Mesa,46
Colorado,Montezuma,47
Colorado,Pitkin,8
Colorado,Prowers,12
Colorado,Pueblo,19
Colorado,Rio Blanco,46
Colorado,Routt,12
Colorado,San Miguel,9
Colorado,Weld,45
Connecticut,Fairfield,43
Connecticut,Hartford,41
Connecticut,Litchfield,40
Connecticut,Middlesex,41
Connecticut,New Haven,41
Connecticut,New London,39
Connecticut,Tolland,44
Connecticut,Windham,39
Delaware,Kent,43
Delaware,New Castle,44
Delaware,Sussex,43
District Of Columbia,District of Columbia,47
Florida,Alachua,38
Florida,Baker,37
Florida,Bay,40
Florida,Brevard,38
Florida,Broward,42
Florida,Citrus,33
Florida,Collier,39
Florida,Columbia,42
Florida,Duval,45
Florida,Escambia,39
Florida,Flagler,35
Florida,Hamilton,33
Florida,Highlands,38
Florida,Hillsborough,44
Florida,Holmes,42
Florida,Indian River,37
Florida,Lake,40
Florida,Lee,39
Florida,Leon,43
Florida,Liberty,35
Florida,Manatee,39
Florida,Marion,42
Florida,Martin,40
Florida,Miami-Dade,40
Florida,Nassau,30
Florida,Okaloosa,37
Florida,Orange,39
Florida,Osceola,37
Florida,Palm Beach,38
Florida,Pasco,40
Florida,Pinellas,43
Florida,Polk,40
Florida,Putnam,16
Florida,Santa Rosa,40
Florida,Sarasota,41
Florida,Seminole,40
Florida,St. Lucie,36
Florida,Volusia,39
Florida,Wakulla,39
Georgia,Bibb,40
Georgia,Chatham,40
Georgia,Chattooga,40
Georgia,Clarke,44
Georgia,Clayton,34
Georgia,Cobb,43
Georgia,Coffee,26
Georgia,Columbia,40
Georgia,Dawson,38
Georgia,DeKalb,45
Georgia,Dougherty,44
Georgia,Douglas,41
Georgia,Floyd,46
Georgia,Fulton,51
Georgia,Glynn,36
Georgia,Gwinnett,47
Georgia,Hall,38
Georgia,Henry,40
Georgia,Houston,43
Georgia,Lowndes,37
Georgia,Murray,44
Georgia,Muscogee,41
Georgia,Pike,37
Georgia,Richmond,47
Georgia,Rockdale,44
Georgia,Sumter,40
Georgia,Walker,36
Georgia,Washington,30
Hawaii,Hawaii,18
Hawaii,Honolulu,34
Hawaii,Kauai,14
Hawaii,Maui,14
Idaho,Ada,37
Idaho,Bannock,24
Idaho,Benewah,38
Idaho,Blaine,14
Idaho,Boise,30
Idaho,Bonner,14
Idaho,Bonneville,30
Idaho,Butte,43
Idaho,Canyon,20
Idaho,Caribou,4
Idaho,Franklin,14
Idaho,Idaho,38
Idaho,Jerome,15
Idaho,Kootenai,21
Idaho,Latah,8
Idaho,Lemhi,18
Idaho,Nez Perce,18
Idaho,Shoshone,27
Idaho,Twin Falls,17
Idaho,Valley,15
Illinois,Adams,44
Illinois,Champaign,44
Illinois,Clark,37
Illinois,Cook,54
Illinois,DuPage,44
Illinois,Effingham,42
Illinois,Hamilton,44
Illinois,Jersey,44
Illinois,Jo Daviess,39
Illinois,Kane,42
Illinois,La Salle,0
Illinois,Lake,41
Illinois,Macon,44
Illinois,Macoupin,38
Illinois,Madison,49
Illinois,McHenry,44
Illinois,McLean,45
Illinois,Monroe,1
Illinois,Peoria,43
Illinois,Randolph,42
Illinois,Rock Island,44
Illinois,St. Clair,45
Illinois,Sangamon,42
Illinois,Tazewell,3
Illinois,Wabash,1
Illinois,Will,44
Illinois,Winnebago,43
Indiana,Allen,45
Indiana,Bartholomew,43
Indiana,Boone,39
Indiana,Brown,38
Indiana,Carroll,39
Indiana,Clark,41
Indiana,Daviess,1
Indiana,Delaware,37
Indiana,Dubois,33
Indiana,Elkhart,38
Indiana,Floyd,37
Indiana,Gibson,3
Indiana,Greene,41
Indiana,Hamilton,43
Indiana,Hendricks,37
Indiana,Henry,29
Indiana,Howard,42
Indiana,Huntington,35
Indiana,Jackson,37
Indiana,Knox,39
Indiana,LaPorte,40
Indiana,Lake,44
Indiana,Madison,43
Indiana,Marion,51
Indiana,Monroe,27
Indiana,Morgan,39
Indiana,Perry,40
Indiana,Pike,1
Indiana,Porter,43
Indiana,Posey,38
Indiana,Shelby,40
Indiana,Spencer,32
Indiana,St. Joseph,44
Indiana,Sullivan,33
Indiana,Tippecanoe,33
Indiana,Vanderburgh,41
Indiana,Vigo,44
Indiana,Wabash,40
Indiana,Warrick,39
Indiana,Whitley,28
